Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,144,144,144,144,144,144,144,144,144,129
Angola,,,,,,,,,,
Benin,,,,,,,,,,
Botswana,,,,,,,,,,
Burkina Faso,176,176,176,162,162,162,162,162,162,162
Burundi,53,53,52,49,49,49,49,49,49,49
Cameroon,,,,,,,,,,
Cape Verde,,,,,,,,,,
Central African Republic,,,,,,,,,,
Chad,,,,,,,,,,
Comoros,,,,,,,,,,
Congo,60,60,60,60,60,60,60,60,60,60
Democratic Republic of Congo,120,120,120,108,108,108,108,108,108,108
Djibouti,,,,,,,,,,
Egypt,264,264,264,264,264,264,264,264,264,264
Equitorial Guinea,,,,,,,,,,
Eritrea,,,,,,,,,,
Ethiopia,120,120,120,120,120,120,120,120,120,120
Gabon,89,91,91,91,91,91,91,91,91,91
Ghana,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,
Ivory Coast,,,,,,,,,,
Kenya,,,,,,,,,,
Lesotho,33,33,33,33,33,33,33,33,33,33
Liberia,26,26,26,26,30,30,30,30,30,30
Libya,,,,,,,,,,
Madagascar,90,90,90,90,90,90,90,90,90,90
Malawi,,,,,,,,,,
Mali,,,,,,,,,,
Mauritania,56,56,56,56,56,56,56,56,56,56
Mauritius,,,,,,,,,,
Morocco,270,270,270,270,270,270,270,270,270,270
Mozambique,,,,,,,,,,
Namibia,26,26,26,26,26,26,26,26,26,26
Niger,,,,,,,,,,
Nigeria,109,108,108,108,109,109,109,109,109,109
Rwanda,20,26,26,26,26,26,26,26,26,26
Sao Tome and Principe,,,,,,,,,,
Senegal,60,60,60,60,60,60,60,60,60,60
Seychelles,,,,,,,,,,
Sierra Leone,,,,,,,,,,
Somalia,,,,,,,,,,
South Africa,,,,,,,,,,
South Sudan,,,,,,,,,,
Sudan,50,50,50,50,50,50,50,50,50,50
Swaziland,30,30,30,30,30,30,30,30,30,30
Tanzania,,,,,,,,,,
Togo,,,,,,,,,,
Tunisia,112,112,112,112,112,112,112,112,112,112
Uganda,,,,,,,,,,
Zambia,,,,,,,,,,
Zimbabwe,66,66,66,66,66,66,66,66,66,66
